subscription,name,start_read_date,end_read_date,estimated_volume,volume,grass_area
670666,TEOMAN EREL PARKI,2017-08-01,2017-08-26,398,545.0,2765
1446436,RAUF DENKTAŞ PARKI,2017-05-25,2017-06-23,513,359.0,5562
1071503,İSMET İNÖNÜ PARKI,2019-11-05,2020-06-03,1956,14847.0,9088
1445850,TEOMAN ÖZTÜRK PARKI,2018-06-25,2018-07-24,1439,1384.0,8000
1445850,TEOMAN ÖZTÜRK PARKI,2020-04-01,2020-04-29,624,1.0,8000
1071503,İSMET İNÖNÜ PARKI,2019-07-30,2019-09-05,1996,3790.0,9088
1447076,HAMZA AKSOY PARKI,2017-10-27,2018-04-20,151,22.0,1916
1074372,NEJAT UYGUR PARKI,2016-07-30,2016-08-27,238,747.0,1470
332018,AFET İNAN PARKI,2018-10-31,2019-05-24,84,16.0,534
1445850,TEOMAN ÖZTÜRK PARKI,2017-03-28,2017-04-26,520,162.0,8000
1447067,NEŞET ERTAŞ PARKI,2018-06-26,2018-07-28,631,662.0,3160
2246419,ŞÜKRAN GÜNGÖR,2023-07-06,2023-08-03,197,327.0,1058
1446959,GÜLTEN ÇAPAR PARKI,2021-09-03,2021-09-30,26,10.0,267
671617,ATA PARK,2022-08-04,2022-09-02,1055,1528.0,6052
1446436,RAUF DENKTAŞ PARKI,2022-08-01,2022-09-02,1057,1635.0,5562
1073156,İSMET İNÖNÜ PARKI,2015-03-02,2016-05-30,8687,184.0,9088
670666,TEOMAN EREL PARKI,2021-11-30,2022-05-06,312,42.0,2765
1074372,NEJAT UYGUR PARKI,2021-09-01,2021-09-29,152,351.0,1470
611617,YUNUS EMRE PARKI,2021-11-01,2022-05-05,541,78.0,4847
2246271,BERFO ANA PARKI,2020-10-05,2021-06-03,3795,1095.0,11200
1445606,NASUH AKAR PARKI,2018-05-24,2018-06-27,114,35.0,803
1074424,EFE ECE DALMANOĞLU PARKI,2020-07-02,2020-09-04,11,66.0,25
1445606,NASUH AKAR PARKI,2018-06-27,2018-07-25,142,68.0,803
1071286,NECATİ YURTTAKALAN PARKI,2019-08-01,2019-09-05,211,1.0,1011
1446837,KAĞAN GÜRŞEN PARKI,2023-06-01,2023-08-02,361,46.0,1125
556459,İLHAN ERDOST PARKI,2017-07-27,2017-08-24,460,569.0,2676
1446837,KAĞAN GÜRŞEN PARKI,2016-10-04,2017-09-28,1082,28.0,1125
1445850,TEOMAN ÖZTÜRK PARKI,2016-04-27,2016-05-27,652,174.0,8000
332018,AFET İNAN PARKI,2020-08-05,2020-09-09,138,167.0,534
1070089,ATAPARK,2019-09-06,2019-10-07,1205,108.0,8271
2246271,BERFO ANA PARKI,2016-06-25,2016-07-30,2225,3325.0,11200
2246025,KEMAL SUNAL PARKI,2023-01-28,2023-05-01,93,104.0,1600
1445850,TEOMAN ÖZTÜRK PARKI,2016-07-30,2016-08-31,1392,1055.0,8000
1070089,ATAPARK,2018-05-24,2018-06-27,1182,53.0,8271
2246025,KEMAL SUNAL PARKI,2020-12-02,2021-08-02,814,629.0,1600
1070089,ATAPARK,2020-08-06,2020-09-08,2034,422.0,8271
671617,ATA PARK,2021-08-04,2021-09-02,1050,859.0,6052
670666,TEOMAN EREL PARKI,2019-11-06,2020-06-03,595,165.0,2765
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2023-08-02,2023-09-04,529,531.0,1919
332018,AFET İNAN PARKI,2021-06-30,2021-08-05,119,87.0,534
670666,TEOMAN EREL PARKI,2021-09-01,2021-09-30,293,72.0,2765
1074372,NEJAT UYGUR PARKI,2018-06-22,2018-07-27,308,784.0,1470
1445850,TEOMAN ÖZTÜRK PARKI,2021-06-29,2021-08-05,1830,256.0,8000
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2018-08-29,2018-09-29,284,252.0,1919
556459,İLHAN ERDOST PARKI,2017-04-25,2017-05-29,350,268.0,2676
671617,ATA PARK,2022-09-02,2022-10-03,942,201.0,6052
670666,TEOMAN EREL PARKI,2023-05-05,2023-07-06,590,48.0,2765
1446837,KAĞAN GÜRŞEN PARKI,2015-09-02,2016-05-31,441,774.0,1125
1446959,GÜLTEN ÇAPAR PARKI,2022-06-06,2022-08-04,69,16.0,267
2246271,BERFO ANA PARKI,2022-12-05,2023-05-04,775,344.0,11200
1074372,NEJAT UYGUR PARKI,2021-08-03,2021-09-01,262,601.0,1470
1070089,ATAPARK,2023-07-05,2023-08-05,1741,451.0,8271
1446837,KAĞAN GÜRŞEN PARKI,2020-07-02,2020-08-04,239,23.0,1125
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2017-10-27,2018-05-22,395,114.0,1919
2246419,ŞÜKRAN GÜNGÖR,2017-05-29,2017-08-25,510,266.0,1058
1446966,SEMA YAZAR PARKI,2017-08-25,2017-09-29,660,396.0,2850
2246419,ŞÜKRAN GÜNGÖR,2019-08-02,2019-09-05,214,264.0,1058
1074424,EFE ECE DALMANOĞLU PARKI,2018-06-23,2018-08-29,10,1.0,25
1446966,SEMA YAZAR PARKI,2019-10-07,2020-06-03,796,447.0,2850
671617,ATA PARK,2016-10-04,2017-05-27,1543,239.0,6052
670666,TEOMAN EREL PARKI,2015-09-01,2016-08-04,2044,278.0,2765
1446959,GÜLTEN ÇAPAR PARKI,2017-10-27,2018-04-24,24,1.0,267
2246419,ŞÜKRAN GÜNGÖR,2016-06-27,2016-07-30,199,328.0,1058
1074424,EFE ECE DALMANOĞLU PARKI,2017-06-23,2017-07-27,6,21.0,25
1073156,İSMET İNÖNÜ PARKI,2021-09-06,2021-10-04,871,28.0,9088
1446959,GÜLTEN ÇAPAR PARKI,2017-04-26,2017-05-29,34,24.0,267
1074372,NEJAT UYGUR PARKI,2022-08-05,2022-09-06,274,457.0,1470
