name_1,name_2,score
Ata Park,ATA PARK,1.0
Atapark,ATAPARK,1.0
Şükran Güngör Parkı,ŞÜKRAN GÜNGÖR,0.9840493178377205
Sehergül Ateş Parkı,SEHERGÜL ATEŞ,0.9828026122464927
Efe-Ece Dalmanoğlu Parkı,EFE ECE DALMANOĞLU PARKI,0.9688772809701833
Nejat Uygur Parkı,NEJAT UYGUR PARKI,0.957475294464808
Berfo Ana Parkı,BERFO ANA PARKI,0.957475294464808
Rauf Denktaş Parkı,RAUF DENKTAŞ PARKI,0.957475294464808
Gülten Çapar Parkı,GÜLTEN ÇAPAR PARKI,0.957475294464808
Ayten Baykal Parkı,AYTEN BAYKAL PARKI,0.957475294464808
Afet İnan Parkı,AFET İNAN PARKI,0.957475294464808
Necati Yurttakalan Parkı,NECATİ YURTTAKALAN PARKI,0.957475294464808
Süleyman Türkoğlu Parkı,SÜLEYMAN TÜRKOĞLU PARKI,0.957475294464808
Kağan Gürşen Parkı,KAĞAN GÜRŞEN PARKI,0.957475294464808
Neşet Ertaş Parkı,NEŞET ERTAŞ PARKI,0.957475294464808
Hamza Aksoy Parkı,HAMZA AKSOY PARKI,0.95567169205
Nasuh Akar Parkı,NASUH AKAR PARKI,0.95567169205
Yunus Emre Parkı,YUNUS EMRE PARKI,0.95567169205
Sema Yazar Parkı,SEMA YAZAR PARKI,0.9542252357160744
Gül Dünya Parkı,GÜL DÜNYA PARKI,0.9537083090957367
Abdullah Cömert Parkı,ABDULLAH CÖMERT PARKI,0.9537083090957367
Teoman Öztürk Parkı,TEOMAN ÖZTÜRK PARKI,0.9521285891423112
Teoman Erel Parkı,TEOMAN EREL PARKI,0.9521285891423112
Kemal Sunal Parkı,KEMAL SUNAL PARKI,0.9510484609820276
İsmet İnönü Parkı,İSMET İNÖNÜ PARKI,0.950801565707182
İlhan Erdost Parkı,İLHAN ERDOST PARKI,0.9502261647710541
Cem Karaca Parkı,CEM KARACA PARKI,0.9477804907182583
Ahmet Atakan Parkı,AHMET ATAKAN PARKI,0.9456278222826162
Ali Göktaş Parkı,ALİ GÖKTAŞ PARKI,0.943043995538071
Güneş Ç.O.A.,GÜNEŞ PARKI,0.9363974863338994
Bayraktar Parkı,BAYRAKTAR PARKI,0.9185230375717397
İlkbahar Parkı,İLKBAHAR PARKI,0.9185230375717397
Yaprak Parkı,YAPRAK PARKI,0.9185230375717397
Ergenekon  Parkı,ERGENEKON PARKI,0.9185230375717397
Yumak Parkı,YUMAK PARKI,0.9185230375717397
Koçlar Parkı,KOÇLAR PARKI,0.9185230375717397
Huzur Parkı,HUZUR PARKI,0.9185230375717397
İpek Parkı,İPEK PARKI,0.9185230375717397
Başak Parkı,BAŞAK PARKI,0.9185230375717397
Rüya Parkı,RÜYA PARKI,0.9185230375717397
Görkem Parkı,GÖRKEM PARKI,0.9185230375717397
İnebolu Parkı,İNEBOLU PARKI,0.9185230375717397
Sevgi Parkı,SEVGİ PARKI,0.9185230375717397
Anneannem Parkı,ANNEANNEM PARKI,0.9185230375717397
Doktorlar Parkı,DOKTORLAR PARKI,0.9185230375717397
Kardelen Parkı,KARDELEN PARKI,0.9185230375717397
Özgürlük Parkı,ÖZGÜRLÜK PARKI,0.9116329856148331
9 Eylül Parkı,9 EYLÜL PARKI,0.9116329856148331
Mahonya Parkı,MAHONYA PARKI,0.9116329856148331
Yağmur Parkı,YAĞMUR PARKI,0.9116329856148331
Demokrasi Parkı ,DEMOKRASİ PARKI,0.9056909455232008
Şht. Ufuk Ünsal Parkı,Ş.UFUK ÜNSAL PARKI,0.8448545563690953
İsmet İnönü Parkı(2017),İSMET İNÖNÜ PARKI,0.8423664725737776
Doğa Parkı,DOĞA PARK,0.8336474780546382
Özgün Park,ÖZGÜN PARKI,0.8271373163120656
Eser Park 1-2,ESER PARKI,0.8033708944637455
Umut Park,UMUT 2 PARKI,0.7851983590203496
Meral-Yaman Okay Parkı,YAMAN OKAY PARKI,0.7702142628690755
Prof. Dr. Türkan Saylan Parkı,TÜRKAN SAYLAN PARKI,0.7430621399030481
Prof. Dr.Türkan Saylan Parkı,TÜRKAN SAYLAN PARKI,0.7430621399030481
