,name_1,grass_area,volume,estimated_volume,difference,auto_pct,difference_pct,wasted_tl,start_read_date,end_read_date
1,İSMET İNÖNÜ,9088.0,14847,73,14774,100.0,20238.35616438356,295480,2019-11-05,2020-06-03
2,TEOMAN ÖZTÜRK,8000.0,1,0,1,0.0,0.0,20,2020-04-01,2020-04-29
3,İSMET İNÖNÜ,9088.0,3790,1996,1794,100.0,89.87975951903807,35880,2019-07-30,2019-09-05
5,NEJAT UYGUR,1470.0,747,238,509,0.0,213.8655462184874,10180,2016-07-30,2016-08-27
7,TEOMAN ÖZTÜRK,8000.0,162,0,162,0.0,0.0,3240,2017-03-28,2017-04-26
8,NEŞET ERTAŞ,3160.0,662,631,31,90.0,4.91283676703645,620,2018-06-26,2018-07-28
10,ATA PARK,6052.0,1528,1055,473,0.0,44.834123222748815,9460,2022-08-04,2022-09-02
11,RAUF DENKTAŞ,5562.0,1635,1057,578,100.0,54.68306527909177,11560,2022-08-01,2022-09-02
13,NEJAT UYGUR,1470.0,351,152,199,0.0,130.92105263157893,3980,2021-09-01,2021-09-29
14,YUNUS EMRE,4847.0,78,0,78,50.0,0.0,1560,2021-11-01,2022-05-05
17,TEOMAN ÖZTÜRK,8000.0,174,0,174,0.0,0.0,3480,2016-04-27,2016-05-27
19,BERFO ANA,11200.0,3325,2225,1100,0.0,49.43820224719101,22000,2016-06-25,2016-07-30
20,KEMAL SUNAL,1600.0,104,0,104,100.0,0.0,2080,2023-01-28,2023-05-01
21,KEMAL SUNAL,1600.0,629,461,168,100.0,36.44251626898048,3360,2020-12-02,2021-08-02
23,SÜLEYMAN TÜRKOĞLU,1919.0,531,529,2,100.0,0.3780718336483932,40,2023-08-02,2023-09-04
24,NEJAT UYGUR,1470.0,784,308,476,0.0,154.54545454545453,9520,2018-06-22,2018-07-27
26,BERFO ANA,11200.0,344,0,344,0.0,0.0,6880,2022-12-05,2023-05-04
27,NEJAT UYGUR,1470.0,601,262,339,0.0,129.38931297709922,6780,2021-08-03,2021-09-01
28,SÜLEYMAN TÜRKOĞLU,1919.0,114,12,102,100.0,850.0,2040,2017-10-27,2018-05-22
30,SEMA YAZAR,2850.0,447,206,241,70.0,116.99029126213591,4820,2019-10-07,2020-06-03
34,NEJAT UYGUR,1470.0,457,274,183,0.0,66.78832116788321,3660,2022-08-05,2022-09-06
35,NEJAT UYGUR,1470.0,290,0,290,0.0,0.0,5800,2017-11-23,2018-05-21
36,SEMA YAZAR,2850.0,3,0,3,70.0,0.0,60,2017-04-26,2017-05-26
41,TEOMAN ÖZTÜRK,8000.0,38,0,38,0.0,0.0,760,2019-04-25,2019-05-24
42,KEMAL SUNAL,1600.0,634,328,306,100.0,93.29268292682927,6120,2022-08-01,2022-09-05
43,BERFO ANA,11200.0,62,0,62,0.0,0.0,1240,2017-03-25,2017-04-25
46,İSMET İNÖNÜ,9088.0,3014,1833,1181,100.0,64.42989634478997,23620,2016-06-27,2016-08-01
47,ATAPARK,8271.0,114,0,114,0.0,0.0,2280,2018-04-21,2018-05-24
48,BERFO ANA,11200.0,925,773,152,0.0,19.663648124191464,3040,2017-05-29,2017-06-22
49,KEMAL SUNAL,1600.0,248,158,90,100.0,56.9620253164557,1800,2018-05-21,2018-06-22
50,BERFO ANA,11200.0,2288,2125,163,0.0,7.670588235294118,3260,2019-06-26,2019-07-29
51,YUNUS EMRE,4847.0,772,481,291,50.0,60.4989604989605,5820,2017-05-29,2017-06-28
52,KEMAL SUNAL,1600.0,299,110,189,100.0,171.8181818181818,3780,2017-05-25,2017-06-22
53,KEMAL SUNAL,1600.0,529,271,258,100.0,95.20295202952029,5160,2022-06-28,2022-08-01
55,İSMET İNÖNÜ,9088.0,1913,1089,824,100.0,75.66574839302112,16480,2018-09-04,2018-10-03
57,YUNUS EMRE,4847.0,513,488,25,50.0,5.122950819672131,500,2022-06-01,2022-06-28
58,ATA PARK,6052.0,7,0,7,0.0,0.0,140,2022-12-02,2023-05-04
59,YUNUS EMRE,4847.0,1268,857,411,50.0,47.957992998833134,8220,2017-07-28,2017-08-28
61,KEMAL SUNAL,1600.0,937,317,620,100.0,195.58359621451103,12400,2016-06-25,2016-07-30
62,RAUF DENKTAŞ,5562.0,512,0,512,100.0,0.0,10240,2018-11-26,2019-05-22
63,SEMA YAZAR,2850.0,2959,0,2959,70.0,0.0,59180,2016-11-04,2017-04-26
64,KEMAL SUNAL,1600.0,613,350,263,100.0,75.14285714285714,5260,2020-08-04,2020-09-02
65,KEMAL SUNAL,1600.0,197,11,186,100.0,1690.909090909091,3720,2018-10-30,2019-05-22
67,SEMA YAZAR,2850.0,755,494,261,70.0,52.834008097166,5220,2021-08-04,2021-09-02
68,RAUF DENKTAŞ,5562.0,27,0,27,100.0,0.0,540,2016-11-03,2017-05-25
69,İSMET İNÖNÜ,9088.0,2331,1564,767,100.0,49.04092071611253,15340,2017-07-27,2017-08-24
70,SÜLEYMAN TÜRKOĞLU,1919.0,23,5,18,100.0,360.0,360,2022-11-30,2023-06-01
71,KEMAL SUNAL,1600.0,803,259,544,100.0,210.03861003861002,10880,2016-07-30,2016-08-27
73,KEMAL SUNAL,1600.0,250,169,81,100.0,47.928994082840234,1620,2019-05-22,2019-06-27
74,RAUF DENKTAŞ,5562.0,142,0,142,100.0,0.0,2840,2016-04-27,2016-05-27
75,KEMAL SUNAL,1600.0,59,4,55,100.0,1375.0,1100,2023-05-01,2023-06-01
80,NEJAT UYGUR,1470.0,51,3,48,0.0,1600.0,960,2019-11-02,2020-06-01
81,İSMET İNÖNÜ,9088.0,2522,1387,1135,100.0,81.83129055515501,22700,2019-09-05,2019-10-07
82,ATA PARK,6052.0,1667,1413,254,0.0,17.97593772116065,5080,2020-08-05,2020-09-04
83,NEJAT UYGUR,1470.0,277,232,45,0.0,19.396551724137932,900,2020-06-01,2020-07-04
84,RAUF DENKTAŞ,5562.0,171,0,171,100.0,0.0,3420,2018-01-19,2018-04-19
86,NEJAT UYGUR,1470.0,505,343,162,0.0,47.23032069970846,3240,2018-07-27,2018-08-31
87,ATAPARK,8271.0,2855,1862,993,0.0,53.329752953813106,19860,2021-06-28,2021-08-04
88,NEJAT UYGUR,1470.0,249,190,59,0.0,31.05263157894737,1180,2018-08-31,2018-09-28
91,NEJAT UYGUR,1470.0,549,294,255,0.0,86.73469387755102,5100,2019-06-27,2019-08-01
92,YUNUS EMRE,4847.0,1175,1087,88,50.0,8.09567617295308,1760,2017-08-28,2017-10-02
93,YUNUS EMRE,4847.0,1469,926,543,50.0,58.639308855291574,10860,2018-06-27,2018-07-27
94,NEJAT UYGUR,1470.0,530,260,270,0.0,103.84615384615385,5400,2017-07-27,2017-08-25
96,İSMET İNÖNÜ,9088.0,740,627,113,100.0,18.022328548644335,2260,2017-05-29,2017-06-22
97,SÜLEYMAN TÜRKOĞLU,1919.0,419,308,111,100.0,36.038961038961034,2220,2018-06-27,2018-07-23
98,RAUF DENKTAŞ,5562.0,1788,993,795,100.0,80.06042296072508,15900,2021-08-03,2021-09-01
99,NEJAT UYGUR,1470.0,534,296,238,0.0,80.4054054054054,4760,2019-08-01,2019-09-04
100,BERFO ANA,11200.0,1485,0,1485,0.0,0.0,29700,2018-04-19,2018-05-23
101,KEMAL SUNAL,1600.0,347,303,44,100.0,14.521452145214523,880,2018-06-22,2018-07-24
102,İSMET İNÖNÜ,9088.0,13058,0,13058,100.0,0.0,261160,2016-11-03,2017-04-27
105,SÜLEYMAN TÜRKOĞLU,1919.0,285,240,45,100.0,18.75,900,2016-09-02,2016-10-01
107,RAUF DENKTAŞ,5562.0,1518,1037,481,100.0,46.38379942140791,9620,2018-06-23,2018-07-24
108,KEMAL SUNAL,1600.0,394,230,164,100.0,71.30434782608695,3280,2019-09-03,2019-10-02
110,BERFO ANA,11200.0,18,0,18,0.0,0.0,360,2020-04-01,2020-04-29
111,ATA PARK,6052.0,920,742,178,0.0,23.98921832884097,3560,2016-05-28,2016-06-27
112,NEJAT UYGUR,1470.0,49,0,49,0.0,0.0,980,2017-03-30,2017-04-25
113,İSMET İNÖNÜ,9088.0,3263,1760,1503,100.0,85.39772727272728,30060,2018-06-25,2018-07-26
114,YUNUS EMRE,4847.0,686,0,686,50.0,0.0,13720,2017-04-27,2017-05-29
115,KEMAL SUNAL,1600.0,565,346,219,100.0,63.29479768786127,4380,2019-07-29,2019-09-03
116,SEMA YAZAR,2850.0,700,357,343,70.0,96.07843137254902,6860,2017-10-27,2018-06-27
117,KEMAL SUNAL,1600.0,976,275,701,100.0,254.90909090909093,14020,2017-07-27,2017-08-24
118,SÜLEYMAN TÜRKOĞLU,1919.0,640,383,257,100.0,67.1018276762402,5140,2020-07-03,2020-08-03
119,SÜLEYMAN TÜRKOĞLU,1919.0,22,13,9,100.0,69.23076923076923,180,2021-10-28,2022-05-31
122,YUNUS EMRE,4847.0,1107,813,294,50.0,36.162361623616235,5880,2022-08-31,2022-10-04
123,SÜLEYMAN TÜRKOĞLU,1919.0,617,416,201,100.0,48.31730769230769,4020,2017-06-28,2017-07-27
124,NEŞET ERTAŞ,3160.0,6,0,6,90.0,0.0,120,2018-11-01,2019-05-25
125,SÜLEYMAN TÜRKOĞLU,1919.0,580,497,83,100.0,16.700201207243463,1660,2020-08-03,2020-09-07
127,TEOMAN ÖZTÜRK,8000.0,82,18,64,0.0,355.55555555555554,1280,2021-04-02,2021-06-01
130,NEJAT UYGUR,1470.0,36,4,32,0.0,800.0,640,2022-11-30,2023-06-01
131,RAUF DENKTAŞ,5562.0,471,0,471,100.0,0.0,9420,2018-04-19,2018-05-22
132,KEMAL SUNAL,1600.0,353,230,123,100.0,53.47826086956522,2460,2016-08-27,2016-10-01
133,TEOMAN ÖZTÜRK,8000.0,18,0,18,0.0,0.0,360,2023-01-05,2023-05-06
134,RAUF DENKTAŞ,5562.0,1056,588,468,100.0,79.59183673469387,9360,2019-05-22,2019-06-27
135,YUNUS EMRE,4847.0,955,902,53,50.0,5.875831485587583,1060,2023-07-05,2023-08-02
136,NEJAT UYGUR,1470.0,362,226,136,0.0,60.17699115044248,2720,2016-08-27,2016-10-03
137,NEŞET ERTAŞ,3160.0,1660,491,1169,90.0,238.08553971486762,23380,2020-09-07,2020-10-06
138,SÜLEYMAN TÜRKOĞLU,1919.0,620,412,208,100.0,50.48543689320388,4160,2021-06-26,2021-08-02
139,BERFO ANA,11200.0,82,0,82,0.0,0.0,1640,2019-01-23,2019-04-20
141,ATA PARK,6052.0,27,0,27,0.0,0.0,540,2021-12-01,2022-05-05
144,ATA PARK,6052.0,88,0,88,0.0,0.0,1760,2017-11-25,2018-04-24
146,TEOMAN ÖZTÜRK,8000.0,33,0,33,0.0,0.0,660,2018-03-24,2018-04-20
147,İSMET İNÖNÜ,9088.0,2094,1634,460,100.0,28.151774785801713,9200,2021-08-05,2021-09-06
148,YUNUS EMRE,4847.0,992,875,117,50.0,13.37142857142857,2340,2022-08-01,2022-08-31
149,NEŞET ERTAŞ,3160.0,1778,398,1380,90.0,346.73366834170855,27600,2018-09-03,2018-10-03
152,ATAPARK,8271.0,1034,911,123,0.0,13.50164654226125,2460,2021-09-02,2021-10-04
153,NEJAT UYGUR,1470.0,497,163,334,0.0,204.9079754601227,6680,2016-05-30,2016-06-25
156,NEJAT UYGUR,1470.0,384,0,384,0.0,0.0,7680,2017-04-25,2017-05-26
158,TEOMAN ÖZTÜRK,8000.0,796,0,796,0.0,0.0,15920,2017-04-26,2017-05-27
159,NEŞET ERTAŞ,3160.0,45,0,45,90.0,0.0,900,2017-04-26,2017-05-29
160,SEMA YAZAR,2850.0,653,207,446,70.0,215.45893719806762,8920,2017-05-26,2017-06-23
161,BERFO ANA,11200.0,2042,1449,593,0.0,40.924775707384406,11860,2018-08-31,2018-09-28
162,YUNUS EMRE,4847.0,776,685,91,50.0,13.284671532846716,1820,2016-08-31,2016-10-03
165,BERFO ANA,11200.0,3540,2757,783,0.0,28.40043525571273,15660,2017-06-22,2017-07-27
166,ATAPARK,8271.0,477,144,333,0.0,231.25,6660,2022-03-04,2022-06-03
168,TEOMAN ÖZTÜRK,8000.0,2198,1514,684,0.0,45.1783355350066,13680,2022-08-04,2022-09-05
169,RAUF DENKTAŞ,5562.0,1262,619,643,100.0,103.87722132471728,12860,2016-05-27,2016-06-25
170,İSMET İNÖNÜ,9088.0,1672,1624,48,100.0,2.955665024630542,960,2022-07-01,2022-08-04
172,NEŞET ERTAŞ,3160.0,41,16,25,90.0,156.25,500,2017-10-28,2018-05-24
174,KEMAL SUNAL,1600.0,841,310,531,100.0,171.29032258064515,10620,2023-07-05,2023-08-03
175,YUNUS EMRE,4847.0,1243,822,421,50.0,51.21654501216545,8420,2022-06-28,2022-08-01
177,ATA PARK,6052.0,3142,1321,1821,0.0,137.85011355034064,36420,2017-06-30,2017-07-29
178,SÜLEYMAN TÜRKOĞLU,1919.0,364,276,88,100.0,31.88405797101449,1760,2019-09-03,2019-10-02
179,SÜLEYMAN TÜRKOĞLU,1919.0,403,345,58,100.0,16.81159420289855,1160,2021-08-02,2021-08-31
180,NEJAT UYGUR,1470.0,633,335,298,0.0,88.95522388059702,5960,2017-08-25,2017-09-28
181,BERFO ANA,11200.0,1999,1246,753,0.0,60.43338683788122,15060,2016-05-27,2016-06-25
182,BERFO ANA,11200.0,3190,2602,588,0.0,22.598001537279018,11760,2017-08-24,2017-09-28
183,RAUF DENKTAŞ,5562.0,1394,1022,372,100.0,36.399217221135025,7440,2019-06-27,2019-07-29
184,NEJAT UYGUR,1470.0,176,107,69,0.0,64.48598130841121,1380,2017-05-26,2017-06-23
185,RAUF DENKTAŞ,5562.0,2277,1105,1172,100.0,106.0633484162896,23440,2016-06-25,2016-07-30
188,ATAPARK,8271.0,173,19,154,0.0,810.5263157894736,3080,2021-01-07,2021-06-01
190,NEŞET ERTAŞ,3160.0,1778,470,1308,90.0,278.2978723404255,26160,2019-09-05,2019-10-05
191,YUNUS EMRE,4847.0,1237,25,1212,50.0,4848.0,24240,2017-10-28,2018-05-25
192,NEJAT UYGUR,1470.0,3,0,3,0.0,0.0,60,2022-03-31,2022-04-29
196,ATA PARK,6052.0,1107,0,1107,0.0,0.0,22140,2018-04-24,2018-05-25
197,NEJAT UYGUR,1470.0,243,199,44,0.0,22.110552763819097,880,2022-09-06,2022-10-03
198,NEJAT UYGUR,1470.0,109,16,93,0.0,581.25,1860,2022-04-29,2022-06-02
200,SÜLEYMAN TÜRKOĞLU,1919.0,807,370,437,100.0,118.1081081081081,8740,2016-06-29,2016-08-01
201,NEJAT UYGUR,1470.0,834,292,542,0.0,185.6164383561644,10840,2016-06-25,2016-07-30
202,TEOMAN ÖZTÜRK,8000.0,212,88,124,0.0,140.9090909090909,2480,2020-04-29,2020-06-04
206,KEMAL SUNAL,1600.0,881,369,512,100.0,138.75338753387533,10240,2017-08-24,2017-09-27
207,KEMAL SUNAL,1600.0,472,412,60,100.0,14.563106796116504,1200,2018-07-24,2018-08-31
209,YUNUS EMRE,4847.0,1340,743,597,50.0,80.34993270524899,11940,2016-08-02,2016-08-31
210,SÜLEYMAN TÜRKOĞLU,1919.0,24,0,24,100.0,0.0,480,2020-11-02,2021-05-31
211,RAUF DENKTAŞ,5562.0,2341,1491,850,100.0,57.008718980549965,17000,2022-04-28,2022-08-01
212,İSMET İNÖNÜ,9088.0,1010,0,1010,100.0,0.0,20200,2017-04-27,2017-05-29
213,ATA PARK,6052.0,2311,1276,1035,0.0,81.1128526645768,20700,2016-06-27,2016-08-02
217,İSMET İNÖNÜ,9088.0,2638,1533,1105,100.0,72.0808871493803,22100,2019-07-01,2019-07-30
218,KEMAL SUNAL,1600.0,500,0,500,100.0,0.0,10000,2018-03-21,2018-05-21
219,ATA PARK,6052.0,1451,851,600,0.0,70.50528789659224,12000,2016-09-02,2016-10-04
220,İSMET İNÖNÜ,9088.0,3807,2237,1570,100.0,70.183281180152,31400,2017-06-22,2017-07-27
221,YUNUS EMRE,4847.0,379,24,355,50.0,1479.1666666666665,7100,2022-05-05,2022-06-01
222,RAUF DENKTAŞ,5562.0,2099,1373,726,100.0,52.87691187181355,14520,2017-06-23,2017-07-28
