name,start_read_date,end_read_date,estimated_volume,volume,grass_area,difference,difference_pct,wasted_tl,year_month
TEOMAN EREL PARKI,2017-08-01,2017-08-26,398,545,2765.0,147,36.93467336683417,2940,2017-08-01
İSMET İNÖNÜ PARKI,2019-11-05,2020-06-03,73,14847,9088.0,14774,20238.35616438356,295480,2020-06-01
TEOMAN ÖZTÜRK PARKI,2020-04-01,2020-04-29,0,1,8000.0,1,0.0,20,2020-04-01
İSMET İNÖNÜ PARKI,2019-07-30,2019-09-05,1996,3790,9088.0,1794,89.87975951903807,35880,2019-09-01
HAMZA AKSOY PARKI,2017-10-27,2018-04-20,12,22,1916.0,10,83.33333333333334,200,2018-04-01
NEJAT UYGUR PARKI,2016-07-30,2016-08-27,238,747,1470.0,509,213.8655462184874,10180,2016-08-01
AFET İNAN PARKI,2018-10-31,2019-05-24,2,16,534.0,14,700.0,280,2019-05-01
TEOMAN ÖZTÜRK PARKI,2017-03-28,2017-04-26,0,162,8000.0,162,0.0,3240,2017-04-01
NEŞET ERTAŞ PARKI,2018-06-26,2018-07-28,631,662,3160.0,31,4.91283676703645,620,2018-07-01
ŞÜKRAN GÜNGÖR,2023-07-06,2023-08-03,197,327,1058.0,130,65.98984771573603,2600,2023-08-01
ATA PARK,2022-08-04,2022-09-02,1055,1528,6052.0,473,44.834123222748815,9460,2022-09-01
RAUF DENKTAŞ PARKI,2022-08-01,2022-09-02,1057,1635,5562.0,578,54.68306527909177,11560,2022-09-01
TEOMAN EREL PARKI,2021-11-30,2022-05-06,0,42,2765.0,42,0.0,840,2022-05-01
NEJAT UYGUR PARKI,2021-09-01,2021-09-29,152,351,1470.0,199,130.92105263157893,3980,2021-09-01
YUNUS EMRE PARKI,2021-11-01,2022-05-05,0,78,4847.0,78,0.0,1560,2022-05-01
EFE ECE DALMANOĞLU PARKI,2020-07-02,2020-09-04,11,66,25.0,55,500.0,1100,2020-09-01
İLHAN ERDOST PARKI,2017-07-27,2017-08-24,460,569,2676.0,109,23.695652173913043,2180,2017-08-01
TEOMAN ÖZTÜRK PARKI,2016-04-27,2016-05-27,0,174,8000.0,174,0.0,3480,2016-05-01
AFET İNAN PARKI,2020-08-05,2020-09-09,138,167,534.0,29,21.014492753623188,580,2020-09-01
BERFO ANA PARKI,2016-06-25,2016-07-30,2225,3325,11200.0,1100,49.43820224719101,22000,2016-07-01
KEMAL SUNAL PARKI,2023-01-28,2023-05-01,0,104,1600.0,104,0.0,2080,2023-05-01
KEMAL SUNAL PARKI,2020-12-02,2021-08-02,461,629,1600.0,168,36.44251626898048,3360,2021-08-01
TEOMAN EREL PARKI,2019-11-06,2020-06-03,22,165,2765.0,143,650.0,2860,2020-06-01
SÜLEYMAN TÜRKOĞLU PARKI,2023-08-02,2023-09-04,529,531,1919.0,2,0.3780718336483932,40,2023-09-01
NEJAT UYGUR PARKI,2018-06-22,2018-07-27,308,784,1470.0,476,154.54545454545453,9520,2018-07-01
İLHAN ERDOST PARKI,2017-04-25,2017-05-29,0,268,2676.0,268,0.0,5360,2017-05-01
BERFO ANA PARKI,2022-12-05,2023-05-04,0,344,11200.0,344,0.0,6880,2023-05-01
NEJAT UYGUR PARKI,2021-08-03,2021-09-01,262,601,1470.0,339,129.38931297709922,6780,2021-09-01
SÜLEYMAN TÜRKOĞLU PARKI,2017-10-27,2018-05-22,12,114,1919.0,102,850.0,2040,2018-05-01
ŞÜKRAN GÜNGÖR,2019-08-02,2019-09-05,214,264,1058.0,50,23.364485981308412,1000,2019-09-01
SEMA YAZAR PARKI,2019-10-07,2020-06-03,206,447,2850.0,241,116.99029126213591,4820,2020-06-01
ŞÜKRAN GÜNGÖR,2016-06-27,2016-07-30,199,328,1058.0,129,64.82412060301507,2580,2016-07-01
EFE ECE DALMANOĞLU PARKI,2017-06-23,2017-07-27,6,21,25.0,15,250.0,300,2017-07-01
GÜLTEN ÇAPAR PARKI,2017-04-26,2017-05-29,0,24,267.0,24,0.0,480,2017-05-01
NEJAT UYGUR PARKI,2022-08-05,2022-09-06,274,457,1470.0,183,66.78832116788321,3660,2022-09-01
NEJAT UYGUR PARKI,2017-11-23,2018-05-21,0,290,1470.0,290,0.0,5800,2018-05-01
SEMA YAZAR PARKI,2017-04-26,2017-05-26,0,3,2850.0,3,0.0,60,2017-05-01
AFET İNAN PARKI,2017-07-27,2017-08-25,94,120,534.0,26,27.659574468085108,520,2017-08-01
HAMZA AKSOY PARKI,2020-08-06,2020-09-07,458,598,1916.0,140,30.567685589519648,2800,2020-09-01
KAĞAN GÜRŞEN PARKI,2020-12-02,2021-05-28,0,71,1125.0,71,0.0,1420,2021-05-01
SEHERGÜL ATEŞ,2016-04-30,2016-05-31,0,245,400.0,245,0.0,4900,2016-05-01
TEOMAN ÖZTÜRK PARKI,2019-04-25,2019-05-24,0,38,8000.0,38,0.0,760,2019-05-01
KEMAL SUNAL PARKI,2022-08-01,2022-09-05,328,634,1600.0,306,93.29268292682927,6120,2022-09-01
BERFO ANA PARKI,2017-03-25,2017-04-25,0,62,11200.0,62,0.0,1240,2017-04-01
EFE ECE DALMANOĞLU PARKI,2017-08-28,2017-09-30,5,11,25.0,6,120.0,120,2017-09-01
AFET İNAN PARKI,2018-07-26,2018-09-03,140,215,534.0,75,53.57142857142857,1500,2018-09-01
İSMET İNÖNÜ PARKI,2016-06-27,2016-08-01,1833,3014,9088.0,1181,64.42989634478997,23620,2016-08-01
ATAPARK,2018-04-21,2018-05-24,0,114,8271.0,114,0.0,2280,2018-05-01
BERFO ANA PARKI,2017-05-29,2017-06-22,773,925,11200.0,152,19.663648124191464,3040,2017-06-01
KEMAL SUNAL PARKI,2018-05-21,2018-06-22,158,248,1600.0,90,56.9620253164557,1800,2018-06-01
BERFO ANA PARKI,2019-06-26,2019-07-29,2125,2288,11200.0,163,7.670588235294118,3260,2019-07-01
YUNUS EMRE PARKI,2017-05-29,2017-06-28,481,772,4847.0,291,60.4989604989605,5820,2017-06-01
KEMAL SUNAL PARKI,2017-05-25,2017-06-22,110,299,1600.0,189,171.8181818181818,3780,2017-06-01
KEMAL SUNAL PARKI,2022-06-28,2022-08-01,271,529,1600.0,258,95.20295202952029,5160,2022-08-01
ŞÜKRAN GÜNGÖR,2022-06-29,2022-08-02,182,223,1058.0,41,22.52747252747253,820,2022-08-01
