SIRA NO,PARK ADI,ADRES,MAHALLE,ÇİM ALAN,SERT ZEMİN,Ç.O.A,ÇİÇEKLİK,YÜRÜME YOLLARI,Unnamed: 9,SPOR ALANLARI,Unnamed: 11,Unnamed: 12,BİSİKLET YOLU,HAVUZ,AĞAÇLIK ALAN,DİĞER ALANLAR,TOPLAM ALAN
1,Anıtpark ,M.Fevzi Çakmak Caddesi Akdeniz cad. ,Bahçelievler,6760,7346,585,37,,,,,,,200,,261,15189
2,Kuğulupark,Tunalı Hilmi  cad.,R.Oguz Arık,2825,3090,500,195,,,,,,,666,467,611,8354
3,Karum Ç.O.A,İran Caddesi Karum İş Merkezi önü,Gop,,,450,,,,,,,,,,,450
4,Uğur Mumcu parkı - Giriş Yolu,Öğretmenler Cad.Çankaya Ünv.Yanı,İşçi Blokları,2470,,,,1120,,,,,,,,,3590
5,Ahlatlıbel Atatürk Parkı,Şehit Savcı Mehmet Selim Kiraz Bulvarı,Ahlatlıbel,41000,13800,2000,,,1400,543,,,276,460,,,59479
6,İsmet İnönü Parkı(2017),451 cad. - 435 cad. ,Birlik,33000,6180,1262,,,,,115,,684,2235,,12603,56079
7,Zafer Park (2018),451 cad.- 429 sok. arası  ,Birlik,43500,11397,1540,,,2083,1581,100,,2082,1400,,4817,68500
8,Lozanpark (2014),Kahire Cad.,Birlik,16718,9528,1630,75,1275,1152,1244,,2986,,,6240,2552,43400
9,Ahmed Arif Parkı,Sokullu Cad. ,Öveçler,9200,3790,223,581,,,390,,,,412,,20,14616
10,Bademlidere Cumhuriyet Parkı(2023),"Kırkkonaklar 358 sokak, Bademlidere 223 sokak",Kırkkonaklar,23189,24925,2087,,,,500,,,5532,467,,201300,258000
11,Fen İşleri Nizamiye,,,,,,,,,,,,,,,,
1,Bahçe Sokak Çocuk Parkı,Bahçe sokak ,Emek,345,95,100,,,,,,,,,130,,670
2,Necil Kazım Akses Parkı,12 sk. ile 18 sk. ,Emek,498,197,335,,,,,50,,,,,31,1111
3,Ahmet Yılmaz Parkı,15 Cad. sk 20 sk ,Emek,625,330,175,,,,,,,,,,7,1137
4,Fryderic Chopin Parkı,Bosna Hersek Cad. ,Emek,3030,604,125,225,,,,,,,,,12,3996
5,Aydın Sönmez Parkı,1.sokak ile 2 sk ,Emek,785,105,220,,,,,,,,,,,1110
6,Yunus Emre Parkı,Bişkek cd.ile Kırım cd.,Emek,4847,1236,,70,,385,,,188,,115,,11,6852
7,Bedri Koraman Parkı,Kırım Cad.ile M.Abdülcemil Kırımoğlu Sok.,Emek,530,283,,,,,110,,,,,,,923
8,İsrail evleri ,Abdullah GabdullahTukaay Caddesi,Emek,,430,,48,,,,,,,22,,,500
