subscription,district,name,address,volume,price,start_read_date,end_read_date
1072923,ÇANKAYA,CEYHUN ATIF KANSU PARKI,2933 SK,2.0,7.95,2018-10-31,2019-04-26
427503,ÇANKAYA,ABİDİNPAŞA PARKI,ŞEHİT İSMAİL KILIÇ SK,43.0,168.07,2018-10-27,2019-05-23
1446911,ÇANKAYA,EROL GÜNAYDIN PARKI,TÜRKKONUT CAD,98.0,326.34,2020-11-05,2021-06-28
674158,ÇANKAYA,KARDELEN PARKI,2168 SK,14.0,46.62,2021-05-31,2021-06-28
2246705,ÇANKAYA,GAZZE PARKI,1139 SK,305.0,1333.61,2015-04-30,2015-06-01
1071429,ÇANKAYA,MEDENİ YILDIRIM PARKI,1315 CAD,43.0,355.19,2022-07-30,2022-09-01
1070496,ÇANKAYA,HUZUR PARKI,2957 SK (OYAK 3 SITESİ),7.0,51.64,2022-06-02,2022-06-29
1446938,ÇANKAYA,SEYİT AHMET ARVASİ PARKI,1242 CAD,256.0,1032.04,2017-08-26,2017-09-30
671209,ÇANKAYA,GÜNEŞ PARKI,CEYHUN ATIF KANSU CAD,33.0,146.5,2015-07-01,2015-08-04
1446455,ÇANKAYA,ÖZGÜN PARKI,2494 SK,9.0,66.21,2022-06-01,2022-06-29
670666,ÇANKAYA,TEOMAN EREL PARKI,LAYOŞ KOŞUT CAD,545.0,2184.14,2017-08-01,2017-08-26
2246023,ÇANKAYA,AHMET KARAMAN PARKI,BEYSUPARK SİT,375.0,2443.39,2022-04-01,2022-06-03
1071044,ÇANKAYA,AŞIK V EYSEL-1 PARKI,HÜRRİYET CAD,6.0,44.01,2022-05-31,2022-06-28
1070789,ÇANKAYA,ATATÜRK SİTESİ PARKI,HACI MUSTAFA BEYNAM SK,84.0,294.0,2021-09-03,2021-10-04
2247725,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,959 SK,114.0,379.62,2019-05-23,2019-07-02
1446291,ÇANKAYA,ALİ DİNÇER FİDANLIK,ALİ FUAT CEBESOY CAD,2.0,8.9,2015-06-29,2015-10-02
1446436,ÇANKAYA,RAUF DENKTAŞ PARKI,3047 SK,359.0,1426.1,2017-05-25,2017-06-23
1072923,ÇANKAYA,CEYHUN ATIF KANSU PARKI,2933 SK,2061.0,7099.41,2016-05-31,2016-06-28
2246355,ÇANKAYA,PARK,ŞEHİT ERSAN CAD,126.0,1248.76,2022-09-29,2023-07-05
1071503,ÇANKAYA,İSMET İNÖNÜ PARKI,948 SK,14847.0,49440.51,2019-11-05,2020-06-03
1072913,ÇANKAYA,GÖKKUŞ AĞI PARKI,2960 SK (GÖZDE EVLER SIT),114.0,1154.36,2022-12-05,2023-07-05
427503,ÇANKAYA,ABİDİNPAŞA PARKI,ŞEHİT İSMAİL KILIÇ SK,42.0,139.86,2020-09-07,2020-10-05
2246391,ÇANKAYA,PARK,ADAKALE SK,34.0,113.22,2020-08-04,2020-09-07
