subscription,district,name,address,volume,price,start_read_date,end_read_date
1074976,ETİMESGUT,E.GUT BEL.BŞK. PARK VE BA H.MÜD.,1681 CADDE,2261,7529.13,2019-10-16 00:00:00,2020-08-22 00:00:00
2246193,ETİMESGUT,ETİMESGUT BELEDİYESİ ŞHT. MAHMUT KAVAK PARKI,1785 SK,791,9748.95,2023-08-16 00:00:00,2023-09-16 00:00:00
2246194,ETİMESGUT,ETİMESGUT BELEDİYESİ TEVH İD PARKI,1630 CAD,337,1122.21,2020-06-10 00:00:00,2020-07-13 00:00:00
2246432,ETİMESGUT,ETİMESGUT BELEDİYESİ ALPARSLAN TÜRKEŞ PARKI-2,ALPARSLAN TÜRKEŞ SOKAK,293,1332.16,2018-04-03 00:00:00,2018-06-04 00:00:00
2246729,ETİMESGUT,ETİMESGUT BELEDİYESİ BİLG E PARKI,ŞAPKA DEVRİM CADDESİ,246,819.18,2020-06-15 00:00:00,2020-07-15 00:00:00
1071124,ETİMESGUT,ETİMESGUT BELEDİYESİ ERGENEKON PARKI,GÖZDE KENT 91,1047,3486.51,2020-09-14 00:00:00,2020-10-12 00:00:00
2247079,ETİMESGUT,ETİMESGUT BELEDİYESİ METEHAN PARKI,SİVAS KONGRESİ CAD,535,2162.07,2017-09-12 00:00:00,2017-10-06 00:00:00
1446745,ETİMESGUT,ETİMESGUT BELEDİYESİ SELİ M HAN PARKI,1977 SOKAK,88,293.04,2019-05-31 00:00:00,2019-07-06 00:00:00
2248697,ETİMESGUT,E.GUT BEL.BŞK. PARK VE BA H.MÜD.,11 CD,1834,20912.35,2023-07-15 00:00:00,2023-08-11 00:00:00
1070170,ETİMESGUT,ETİMESGUT BELEDİYESİ AYYI LDIZ YEŞİL ALAN 1,AHİ MESUT BLV,872,3503.06,2017-08-11 00:00:00,2017-09-13 00:00:00
1446548,ETİMESGUT,ETİMESGUT BEL.BŞK.PARK VE BAHÇE MD.,1462 SOKAK,101,473.69,2014-05-10 00:00:00,2014-06-10 00:00:00
1445880,ETİMESGUT,ETİMESGUT BELEDİYESİ GÜZEL KENT PARKI,9 EYLÜL İZMİR CADDE,8,36.02,2015-09-14 00:00:00,2015-10-10 00:00:00
1073665,ETİMESGUT,ETİMESGUT BELEDİYESİ CEMİ L MERİÇ PARKI,KUV MİLLİYE CAD,75,748.87,2022-11-14 00:00:00,2023-05-15 00:00:00
1071355,ETİMESGUT,ETİMESGUT BELEDİYESİ 80.Y IL CUMHURİYET PARK 1,1574 SK,500,1956.39,2018-10-12 00:00:00,2019-06-11 00:00:00
2998464,ETİMESGUT,ETİMESGUT BEL.BŞK.PARK VE BAHÇE MD.,KIZILIRMAK CAD,84,419.34,2021-10-12 00:00:00,2022-05-17 00:00:00
1446744,ETİMESGUT,ETİMESGUT BELEDİYESİ YAVU Z SELİM PARKI,10 CD,821,6858.43,2022-08-11 00:00:00,2022-09-12 00:00:00
1446365,ETİMESGUT,ETİMESGUT BELEDİYESİ TUNAHAN KOŞUYOLU PARKI,4.ETAP 57 PARSEL,411,1765.14,2017-11-07 00:00:00,2018-05-02 00:00:00
2246204,ETİMESGUT,ETİMESGUT BELEDİYESİ AYIŞ IĞI PARKI,83 SOKAK,220,2536.31,2023-07-17 00:00:00,2023-08-16 00:00:00
1445886,ETİMESGUT,ETİMESGUT BELEDİYESİ ÇİÇE K PARKI,573 SOKAK ( BOZHÖYÜK ),347,1163.44,2021-07-10 00:00:00,2021-08-14 00:00:00
2248115,ETİMESGUT,E.GUT BEL.BŞK. PARK VE BA H.MÜD.,2308 SOKAK,184,1094.51,2021-11-10 00:00:00,2022-08-12 00:00:00
2248432,ETİMESGUT,E.GUT BEL.BŞK. PARK VE BA H.MÜD.,KÜRŞAT CAD,240,1139.55,2018-06-01 00:00:00,2018-07-03 00:00:00
122096,ETİMESGUT,ETİMESGUT BELEDİYESİ AKŞEMSETTİN PARKI,1945 SK,217,722.61,2020-06-11 00:00:00,2020-08-14 00:00:00
1070058,ETİMESGUT,ETİMESGUT BELEDİYESİ ZABITA KARAKOLU,1460 SOKAK,27,120.9,2018-03-31 00:00:00,2018-05-04 00:00:00
2997839,ETİMESGUT,ETİMESGUT BEL.BŞK.PARK VE BAHÇ MÜD.,1109.SOKAK,85,909.27,2023-06-14 00:00:00,2023-07-17 00:00:00
1447084,ETİMESGUT,ETİMESGUT BELEDİYESİ OSMAN BÖLÜKBAŞI PARK,2199 SK,627,2709.32,2015-02-14 00:00:00,2015-06-13 00:00:00
2246717,ETİMESGUT,ETİMESGUT BELEDİYESİ SERÇE PARKI,1907 SK,72,319.68,2015-07-13 00:00:00,2015-08-13 00:00:00
1073665,YENİMAHALLE,T.C.ETİMESGUT BLD.BŞK.PRK .BAH.MÜD.YEŞİL ALAN,BELİRSİZ,385,1808.44,2014-07-10 00:00:00,2014-08-12 00:00:00
2246934,ETİMESGUT,ETİMESGUT BELEDİYESİ PARK,TOKİ 3 BÖLGE 87/1,450,2070.9,2018-05-02 00:00:00,2018-06-01 00:00:00
2247387,ETİMESGUT,E.GUT BEL.BŞK. PARK VE BA H.MÜD.,1820 CAD,131,1135.18,2022-09-15 00:00:00,2022-10-14 00:00:00
1445863,ETİMESGUT,ETİMESGUT BELEDİYESİ 9.EY LÜL PARKI,6 CADDE,522,4223.68,2022-07-18 00:00:00,2022-08-17 00:00:00
1070166,ETİMESGUT,ETİMESGUT BELEDİYESİ MECLİS PARKI,3.ETAP 52.PARSEL,129,612.64,2018-06-01 00:00:00,2018-07-04 00:00:00
2246722,ETİMESGUT,ETİMESGUT BELEDİYESİ SULTAN SENCER PARKI,1890 SOKAK,960,4317.51,2018-09-14 00:00:00,2018-10-11 00:00:00
1073665,ETİMESGUT,ETİMESGUT BELEDİYESİ CEMİ L MERİÇ PARKI,KUV MİLLİYE CAD,150,1060,2022-05-19 00:00:00,2022-06-15 00:00:00
1445875,ETİMESGUT,ETİMESGUT BELEDİYESİ ZÜBE YDE HANIM PARKI,336 SOKAK,40,133.2,2019-09-17 00:00:00,2019-10-15 00:00:00
2998380,ETİMESGUT,ETİMESGUT BEL.BŞK,314 SOKAK,223,783.85,2021-09-13 00:00:00,2021-10-13 00:00:00
1446920,ETİMESGUT,ETİMESGUT BELEDİYESİ ALİ RIZA EFENDİ PARKI,4 CAD,215,1515.38,2022-05-17 00:00:00,2022-06-15 00:00:00
1445875,ETİMESGUT,ETİMESGUT BELEDİYESİ ZÜBE YDE HANIM PARKI,336 SOKAK,127,422.91,2021-05-10 00:00:00,2021-06-10 00:00:00
1070781,ETİMESGUT,ETİMESGUT BELEDİYESİ BAHÇELİ PARKI,K.FİLİZ SİT,360,1370.79,2018-11-09 00:00:00,2019-06-11 00:00:00
2998480,ETİMESGUT,ETİMESGUT BEL.BŞK PARK VE BAHÇE MD.,3287 CAD,1624,12981.79,2022-07-07 00:00:00,2022-08-11 00:00:00
1446748,ETİMESGUT,ETİMESGUT BELEDİYESİ GÖKTÜRK PARKI,1646 SK,112,419.8,2018-12-08 00:00:00,2019-05-03 00:00:00
